code;dolznost
1;"начальник кафедры (отдела)"
2;"заведующий кафедрой"
3;"заместитель начальника кафедры"
4;"профессор"
5;"доцент"
6;"старший преподаватель"
7;"преподаватель"
8;"начальник Академии"
9;"заместитель начальника Академии"
10;"начальник факультета"
13;"заместитель начальника факультета"
14;"старший научный сотрудник"
15;"старший преподаватель-методист"
16;"начальник отделения"
17;"заместитель начальника курса"
18;"научный сотрудник"
19;"преподаватель-методист"
20;"ученый секретарь"
21;"заведующий кабинетом"
