publication;author;department;isauthor;code
1649;246;13;1;1
1648;246;13;1;2
1593;318;20;1;3
1592;318;20;1;4
1590;318;20;1;5
1589;318;20;1;6
1591;318;20;1;7
1588;318;20;1;8
1588;32;2;0;9
1587;318;20;1;10
1595;318;20;1;11
1595;281;15;0;12
1586;318;20;1;13
1594;318;20;1;14
1502;138;9;1;15
1504;131;9;1;16
1755;299;18;1;17
1754;299;18;1;18
1753;299;18;1;19
1752;299;18;1;20
1561;213;14;1;21
1560;213;14;1;22
1559;213;14;1;23
687;105;7;0;24
1647;242;13;1;25
1645;242;13;1;26
1644;242;13;1;27
1751;298;18;1;28
1750;298;18;1;29
1749;298;18;1;30
1748;297;18;1;31
1747;297;18;1;32
1643;241;13;1;33
1626;241;13;1;34
1625;241;13;1;35
1655;241;13;1;36
1642;241;13;1;37
1627;241;13;1;38
1654;241;13;1;39
1624;241;13;1;40
1623;241;13;1;41
1638;241;13;1;42
1653;3;1;1;43
1745;295;18;1;44
1744;295;18;1;45
1743;295;18;1;46
1742;295;18;1;47
1741;295;18;1;48
1740;295;18;1;49
1739;295;18;1;50
1738;295;18;1;51
1737;294;18;1;52
1736;294;18;1;53
1735;294;18;1;54
1733;294;18;1;55
1732;294;18;1;56
1731;294;18;1;57
1730;294;18;1;58
1729;294;18;1;59
1728;294;18;1;60
1727;294;18;1;61
1726;294;18;1;62
1725;294;18;1;63
1724;294;18;1;64
1723;293;18;1;65
1722;293;18;1;66
1622;237;13;1;67
1636;237;13;1;68
1512;136;9;1;69
1510;136;9;1;70
1641;235;13;1;71
1635;235;13;1;72
1640;235;13;1;73
1621;234;13;1;74
1634;234;13;1;75
1619;234;13;1;76
1618;234;13;1;77
1633;234;13;1;78
1558;208;14;1;79
1557;208;14;1;80
1556;208;14;1;81
1721;290;18;0;82
1719;290;18;1;83
1718;290;18;1;84
1555;205;14;1;85
1298;96;6;1;86
1646;230;13;1;87
1617;230;13;1;88
1620;227;13;1;89
1616;227;13;1;90
1632;225;13;1;91
1615;225;13;1;92
1631;225;13;1;93
1630;225;13;1;94
1629;225;13;1;95
1628;225;13;1;96
1652;222;13;1;97
1513;130;9;1;98
1505;130;9;1;99
1505;132;9;0;100
1506;130;9;1;101
1506;131;9;0;102
1509;130;9;1;103
1511;129;9;1;104
1610;243;13;1;105
1608;242;13;1;106
1496;136;9;1;107
1609;235;13;1;108
1607;234;13;1;109
1391;314;19;1;110
1606;237;13;1;111
1275;96;6;1;112
1548;208;14;1;113
1483;305;19;1;114
1484;305;19;1;115
1482;305;19;1;116
77;86;5;0;117
1582;221;14;1;118
1581;221;14;1;119
1689;247;13;1;120
1702;247;13;1;121
1605;318;20;1;122
1603;318;20;1;123
1599;318;20;1;124
1600;318;20;1;125
1813;298;18;1;126
1812;298;18;1;127
1811;298;18;1;128
1810;298;18;1;129
1809;298;18;1;130
1808;298;18;1;131
1807;298;18;1;132
1806;298;18;1;133
1805;298;18;1;134
1804;298;18;1;135
1803;298;18;1;136
1802;297;18;1;137
1801;297;18;1;138
1800;297;18;1;139
1799;297;18;1;140
1598;318;20;1;141
1597;318;20;1;142
1701;241;13;1;143
1685;241;13;1;144
1700;241;13;1;145
1665;241;13;1;146
1664;241;13;1;147
1698;241;13;1;148
1684;241;13;1;149
1699;241;13;1;150
1683;241;13;1;151
1596;318;20;1;152
1602;318;20;1;153
1601;318;20;1;154
1604;318;20;1;155
1798;296;18;1;156
1797;296;18;1;157
1796;296;18;1;158
1795;296;18;1;159
1794;296;18;1;160
1793;295;18;1;161
1792;295;18;1;162
1791;295;18;1;163
1790;295;18;1;164
1789;295;18;1;165
1788;295;18;1;166
1787;295;18;1;167
1786;295;18;1;168
1785;295;18;1;169
1784;295;18;1;170
1783;295;18;1;171
1782;295;18;1;172
1781;295;18;1;173
1780;295;18;1;174
1779;295;18;1;175
1778;295;18;1;176
1777;295;18;1;177
1776;295;18;1;178
1775;295;18;1;179
1573;210;14;1;180
1682;238;13;1;181
1681;238;13;1;182
1533;138;9;1;183
1774;293;18;1;184
1773;293;18;1;185
1680;237;13;1;186
1679;237;13;1;187
1695;237;13;1;188
1697;237;13;1;189
1663;237;13;1;190
1696;237;13;1;191
1694;237;13;1;192
1693;237;13;1;193
1527;136;9;1;194
1526;136;9;1;195
1545;136;9;1;196
1547;136;9;1;197
