kind;outputdata;year;unused1;unused2;code;halfyear
5;"Хозяйственное (предпринимательское) право / В.Н. Паращенко, В.В. Паращенко ; БИП – Институт правоведения. – Минск : Право и экономика, 2010. – 511 c. – (Серия ""Высшая школа бизнеса"")";2010;;;9;
5;"История политических и правовых учений : ответы на экзаменационные вопросы / Е.В. Борщева. – Минск : ТетраСистемс, 2008. – 172 с. – (Ответы на экзаменационные вопросы)";2008;;;13;
5;"Предупреждение, выявление, пресечение, раскрытие и расследование преступлений в сфере экономики и финансово-банковского дела : практ. пособие / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; авт.-сост.: О.В. Маркова, В.Ч. Родевич, А.В. Башан, В.Н. Крюков. – Минск : Акад. МВД Респ. Беларусь, 2007. – 48 с.";2007;;;18;
5;"Основы правового регулирования оперативно-розыскной деятельности таможенных органов Республики Беларусь : науч.-практ. пособие / В.С. Гайдельцов. – Минск : ИНБ Респ. Беларусь, 2007. – 147 с.";2007;;;37;
5;"Конституционно-правовые основы деятельности органов государственной безопасности : учеб. пособие / В.С. Гайдельцов. – Минск : ИНБ Респ. Беларусь, 2007. – 171 с.";2007;;;40;
5;"Деятельность органов внутренних дел в сфере миграции, убежища и гражданства / М.Г. Головач, И.В. Козелецкий, Н.И. Рудович, К.Д. Сазон, А.И. Федорако, О.И. Бахур. – Минск : Тесей, 2009. – 184 с. – (Изд. в рамках проекта ЕС ""Усиление условий предоставления убежища в Республике Беларусь"" (ЭНЕЙ-2)";2009;;;71;
5;"Практикум для слушателей ФЗО по спецкурсу «Криминалистическое обеспечение раскрытия и расследования преступлений» / Г.В. Федоров ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – 32 с.";2007;;;91;
5;"Практикум по криминалистической тактике для курсантов (очная форма обучения) / И.А. Анищенко, О.В. Маркова ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 61 с.";2008;;;196;
5;"Современные возможности криминалистического исследования веществ, материалов и изделий из них : практ. пособие: [для следователей, судей, сотрудников органов дознания, работников прокуратур, адвокатов] / А. И. Габа, Д. В. Исютин-Федотков ; Респ. ин-т высшей школы. – Минск : РИВШ, 2009. – 146 с.";2009;;;197;
5;"Использование специальных знаний в процессе расследования преступлений : практ. рук-во / И.А. Анищенко (§ 2.4), Д.В. Исютин-Федотков (§ 2.6), Н.И. Лагун (§ 2.3, 2.5, 2.7), В.М. Логвин (§ 1, 2.1, 2.2, 3); М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 92 с.";2009;;;200;
5;"Криминалистика. Криминалистическая техника : практикум для слушателей и студентов (заочная форма обучения) / И.А. Анищенко, Д.В. Исютин-Федотков, В.М. Логвин, Г.Н. Мухин ; М-во внутрен. дел Респ. Беларусь  Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 44 с.";2008;;;201;
5;"Тесты по криминалистике / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; авт.-сост.: Д.В. Исютин-Федотков, О.В. Маркова, М.В. Гелезник ; под общ. ред. Д.В. Исютина-Федоткова. – Минск : Акад. МВД Респ. Беларусь, 2007. – 63 с.";2007;;;204;
5;"Практикум по криминалистической технике (очная форма обучения) / Д.В. Исютин-Федотков, В.М. Логвин, Г.Н. Мухин ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2009. – 58 с.";2009;;;205;
5;"Практикум по криминалистической технике для курсантов (очная форма обучения) / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; авт.-сост. Д.В. Исютин-Федотков, Г.Н. Мухин. – Минск : Акад. МВД Респ. Беларусь, 2007. – 59 с.";2007;;;207;
5;"Возмещение вреда, причиненного преступлением, жертвам торговли людьми в Республике Беларусь / М.П. Шруб, Г.В. Тюрина, Т.В. Наумович ; под общ. ред. М.П. Шруба. – Минск : Тесей, 2010. – 240 с.";2010;;;209;
5;"Осмотр места происшествия : практ. пособие / И.А. Анищенко (2.1, 2.11 в соавторстве), В.Ф. Бурейко (2.10 в соавторстве), В.Е. Воробей (2.1 в соавторстве, прил. 6, 7), М.В. Галезник (2.6 в соавторстве), В.П. Егоров (2.3 в соавторстве), И.В. Капустина (2.4 в соавторстве), Н.И. Лагун (2.7 в соавторстве), М.Г. Лагуновский (2.9, 2.11 в соавторстве), В.М. Логвин (1, 2.8, 2.12; 2.2-2.7, 2.9, 2.11 в соавторстве, прил. 1-5, 8, 9), Ю.А. Матвейчев (2.5 в соавторстве), М.М. Ятусевич (2.2, 2.9, 2.10 в соавторстве) / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; под ред. В.М. Логвина. – Минск : Акад. МВД Респ. Беларусь, 2010. – 311 с.";2010;;;210;
5;"Практикум по криминалистике (криминалистическая техника, тактика и методика) по специальности 1 – 24 01 02 «Правоведение» для слушателей 4-5 «Б» курсов заочной формы обучения / В.Л. Григорович, Г.В. Федоров ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2010. – 40 с.";2010;;;211;
5;"Практикум по криминалистике для курсантов следственно-экспертного и уголовно-исполнительного факультетов очного обучения / Г.В. Федоров, В.Л. Григорович ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2010. – 96 с.";2010;;;214;
5;"Сборник задач по уголовному процессу (общая часть) / П.В. Гридюшко (задачи 105-134, 152-160), И.В. Данько (предисл., задачи 38-57, 180-193), Н.В. Калмыкова (задачи 161-179), Л.И. Кукреш (задачи 201-217), В.В. Мелешко (задачи 58-60, 82-84, 97-104, 194-200, 218-220), Е.В. Около-Кулак (задачи 63-81, 85-96), М.А. Шостак (задачи 1-37, 61, 62, 135-151); под общ. ред. И.В. Данько и Н.В. Калмыковой ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 77 с.";2008;;;314;
5;"Тесты по уголовному процессу / Л.И. Кукреш, И.В. Данько, П.В. Гридюшко ; под ред. проф. Л.И. Кукреш; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – 136 с.";2007;;;315;
5;"Первая медицинская помощь : практ. руководство / А.О. Гусенцов ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – 27 с.";2007;;;349;
5;"Первая медицинская помощь : практ. руководство / А.О. Гусенцов ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – 2-е изд., испр. и доп. – Минск : Акад.МВД Респ. Беларусь, 2007. – 28 с.";2007;;;350;
5;"Риторика : ответы на экзаменационные вопросы / В.Л. Голубев. – Минск : ТетраСистемс, 2008. – 222 с. – (Ответы на экзаменационные вопросы)";2008;;;445;
5;"Риторика : практикум [для студентов и слушателей заочной формы обучения] / В.Л. Голубев, О.В. Бурибо ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – 2-е изд. – Минск : Акад. МВД Респ. Беларусь, 2009. – 71 с.";2009;;;446;
5;"Риторика : практикум / В. Л. Голубев, О. В. Бурибо ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 72 с.";2008;;;447;
5;"Юридическая психология : практикум / В.В. Мицкевич, Ю.А. Фомин; Акад. МВД Респ. Беларусь, Каф. психологии и педагогики. – Минск : Акад. МВД Респ. Беларусь, 2007. – 79 с.";2007;;;448;
5;"Теория и практика управленческой деятельности / А. А. Урбанович. – Минск : Современная школа, 2008. – 608 с.";2008;;;450;
5;"Прикладное НЛП : техника эффективного общения / Ю.А. Фомин. – Минск : Современная школа, 2009. – 512 с.";2009;;;451;
5;"Рабочее время и время отдыха : комментируем Трудовой кодекс Республики Беларусь / А. А. Греченков. – Минск : Информ.-прав. агентство ""Регистр"", 2008. – 108 с.";2008;;;452;
5;"Профессионально-прикладная физическая подготовка сотрудников органов внутренних дел : практ. пособие / Г.В. Антонов, В.В. Леонов, А.Ч. Марцулевич, Д.Н. Савич;  М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2007. – 248 с.";2007;;;507;
5;"Милиция Беларуси. Документы и материалы (1917-2007 гг.) / М-во внутрен. дел Респ. Беларусь, Акад. МВД ; сост. К.И. Барвинок, А.Ф. Вишневский, А.В. Вениосов, В.А. Данилов, А.С. Жмуровский, С.К. Купрейчик, В.И. Павлов, С.А. Семенова, А.А. Радоман, А.В. Шарков, А.Н. Юшкевич ; под ред. канд. ист. наук, доц. К.И. Барвинка, д-ра ист. наук, проф. А.Ф. Вишневского; авт. ист. очерка К.И. Барвинок, А.Ф. Вишневский. – Минск : Акад. МВД Респ. Беларусь, 2007. – 352 с.";2007;;;573;
5;"Криминология : ответы на экзаменационные вопросы / В.А. Кашевский, И.И. Куценков, А.А. Примаченок. – 3-е изд., испр. и доп. – Минск : ТетраСистемс, 2010. – 142 с. – (Ответы на экзаменационные вопросы)";2010;;;606;
5;"Прокурорский надзор : ответы на экзаменационные вопросы / М. А. Шостак. – Минск : ТетраСистемс, 2007. – 256 с. – (Ответы на экзаменационные вопросы)";2007;;;726;
5;"Прокурорский надзор : ответы на экзаменационные вопросы / М. А. Шостак. – 2-е изд., исправленное и дополненное. – Минск : ТетраСистемс, 2009. – 284 с. – (Ответы на экзаменационные вопросы)";2009;;;727;
5;"Уголовный процесс. Общая часть : ответы на экзаменационные вопросы / М. А. Шостак. – 2-е изд. – Минск : ТетраСистемс, 2007. – 204 с. – (Ответы на экзаменационные вопросы)";2007;;;728;
5;"Уголовный процесс. Общая часть: ответы на экзаменационные вопросы / М. А. Шостак. – 4-е изд., исправленное и дополненное. – Минск : ТетраСистемс, 2010. – 207 с. – (Ответы на экзаменационные вопросы)";2010;;;729;
5;"Уголовный процесс. Общая часть : ответы на экзаменационные вопросы / М. А. Шостак. – 3-е изд., исправленное и дополненное. – Минск : ТетраСистемс, 2009. – 207 с. – (Ответы на экзаменационные вопросы)";2009;;;730;
5;"Уголовный процесс. Общая часть : ответы на экзаменационные вопросы : для студентов высших учебных заведений юридического профиля / М.А. Шостак. – Минск : ТетраСистемс, 2006. – 204 с.";2006;;;731;
